mission_time_s,velocity_ms,altitude_km
5.066,14.722,0
5.1,14.722,0
5.133,15,0
5.165,15,0
5.199,15.277,0
5.233,15.277,0
5.266,15.555,0
5.3,15.555,0
5.332,15.833,0
5.366,16.111,0
5.399,16.111,0
5.433,16.388,0
5.465,16.388,0
5.5,16.666,0
5.532,16.666,0
5.566,16.944,0
5.6,16.944,0
5.633,17.222,0
5.665,17.222,0
5.699,17.222,0
5.733,17.5,0
5.766,17.5,0
5.8,17.777,0
5.832,17.777,0
5.866,18.055,0
5.899,18.055,0
5.933,18.333,0
5.965,18.333,0
6,18.333,0
6.032,18.611,0
6.066,18.611,0
6.1,18.888,0
6.133,18.888,0
6.165,19.166,0
6.199,19.166,0
6.233,19.444,0
6.266,19.444,0
6.3,19.722,0
6.332,19.722,0
6.366,20,0
6.399,20,0
6.433,20.277,0
6.465,20.277,0
6.5,20.555,0
6.532,20.833,0
6.566,20.833,0
6.6,20.833,0
6.633,21.111,0
6.665,21.388,0
6.699,21.388,0
6.733,21.666,0
6.766,21.666,0
6.8,21.944,0
6.832,21.944,0
6.866,22.222,0
6.899,22.222,0
6.933,22.5,0
6.965,22.5,0
7,22.777,0
7.032,22.777,0
7.066,23.055,0
7.1,23.055,0
7.133,23.333,0
7.165,23.333,0
7.199,23.333,0
7.233,23.611,0
7.266,23.611,0
7.3,23.888,0
7.332,23.888,0
7.366,24.166,0
7.399,24.166,0
7.433,24.444,0.1
7.465,24.444,0.1
7.5,24.722,0.1
7.532,24.722,0.1
7.566,25,0.1
7.6,25,0.1
7.633,25.277,0.1
7.665,25.277,0.1
7.699,25.555,0.1
7.733,25.555,0.1
7.766,25.833,0.1
7.8,26.111,0.1
7.832,26.111,0.1
7.866,26.111,0.1
7.899,26.388,0.1
7.933,26.388,0.1
7.965,26.666,0.1
7.999,26.666,0.1
8.033,26.944,0.1
8.066,27.222,0.1
8.1,27.222,0.1
8.133,27.5,0.1
8.166,27.5,0.1
8.2,27.777,0.1
8.233,27.777,0.1
8.266,28.055,0.1
8.3,28.055,0.1
8.333,28.333,0.1
8.366,28.333,0.1
8.4,28.611,0.1
8.433,28.611,0.1
8.466,28.888,0.1
8.5,28.888,0.1
8.533,29.166,0.1
8.566,29.166,0.1
8.6,29.444,0.1
8.633,29.444,0.1
8.666,29.722,0.1
8.7,30,0.1
8.733,30,0.1
8.766,30.277,0.1
8.8,30.277,0.1
8.833,30.555,0.1
8.866,30.555,0.1
8.9,30.833,0.1
8.933,30.833,0.1
8.966,31.111,0.1
9,31.111,0.1
9.033,31.111,0.1
9.066,31.388,0.1
9.1,31.388,0.1
9.133,31.666,0.1
9.166,31.944,0.1
9.2,31.944,0.2
9.233,31.944,0.2
9.266,32.222,0.2
9.3,32.5,0.2
9.333,32.5,0.2
9.366,32.777,0.2
9.4,32.777,0.2
9.433,33.055,0.2
9.466,33.333,0.2
9.5,33.333,0.2
9.533,33.333,0.2
9.566,33.611,0.2
9.6,33.611,0.2
9.633,33.888,0.2
9.666,33.888,0.2
9.7,34.166,0.2
9.733,34.166,0.2
9.766,34.444,0.2
9.8,34.444,0.2
9.833,34.722,0.2
9.866,35,0.2
9.9,35,0.2
9.933,35.277,0.2
9.966,35.277,0.2
10,35.555,0.2
10.033,35.555,0.2
10.066,35.833,0.2
10.1,36.111,0.2
10.133,36.111,0.2
10.166,36.388,0.2
10.2,36.388,0.2
10.233,36.666,0.2
10.266,36.666,0.2
10.3,36.944,0.2
10.333,36.944,0.2
10.366,37.222,0.2
10.4,37.5,0.2
10.433,37.5,0.2
10.466,37.777,0.2
10.5,37.777,0.2
10.533,38.055,0.2
10.566,38.055,0.2
10.6,38.333,0.2
10.633,38.333,0.2
10.666,38.611,0.2
10.7,38.611,0.2
10.733,38.888,0.2
10.766,38.888,0.2
10.8,39.166,0.2
10.833,39.444,0.2
10.866,39.444,0.2
10.9,39.722,0.2
10.933,39.722,0.2
10.966,40,0.2
11,40.277,0.2
11.033,40.277,0.2
11.066,40.277,0.2
11.1,40.555,0.2
11.133,40.555,0.2
11.166,40.555,0.2
11.2,40.833,0.2
11.233,41.111,0.2
11.266,41.111,0.2
11.3,41.388,0.2
11.333,41.388,0.2
11.366,41.666,0.2
11.4,41.666,0.2
11.433,41.944,0.2
11.466,41.944,0.2
11.5,42.222,0.2
11.533,42.222,0.2
11.566,42.5,0.2
11.6,42.777,0.2
11.633,42.777,0.2
11.666,42.777,0.2
11.7,43.055,0.2
11.733,43.055,0.2
11.766,43.333,0.2
11.8,43.611,0.2
11.833,43.611,0.2
11.866,43.611,0.2
11.9,43.888,0.3
11.933,44.166,0.3
11.966,44.166,0.3
12,44.444,0.3
12.033,44.722,0.3
12.066,44.722,0.3
12.1,45,0.3
12.133,45,0.3
12.166,45.277,0.3
12.2,45.277,0.3
12.233,45.555,0.3
12.266,45.555,0.3
12.3,45.833,0.3
12.333,45.833,0.3
12.366,46.111,0.3
12.4,46.111,0.3
12.433,46.388,0.3
12.466,46.388,0.3
12.5,46.666,0.3
12.533,46.666,0.3
12.566,46.666,0.3
12.6,46.944,0.3
12.633,47.222,0.3
12.666,47.222,0.3
12.7,47.5,0.3
12.733,47.777,0.3
12.766,47.777,0.3
12.8,48.055,0.3
12.833,48.055,0.3
12.866,48.333,0.3
12.9,48.333,0.3
12.933,48.611,0.3
12.966,48.611,0.3
13,48.888,0.3
13.033,48.888,0.3
13.066,49.166,0.3
13.1,49.444,0.3
13.133,49.444,0.3
13.166,49.722,0.3
13.2,49.722,0.3
13.233,50,0.3
13.266,50.277,0.3
13.3,50.555,0.3
13.333,50.555,0.3
13.366,50.833,0.3
13.4,50.833,0.3
13.433,51.111,0.3
13.466,51.388,0.3
13.5,51.388,0.3
13.533,51.666,0.3
13.566,51.944,0.3
13.6,51.944,0.3
13.633,52.222,0.3
13.666,52.222,0.3
13.7,52.5,0.3
13.733,52.777,0.3
13.766,52.777,0.3
13.8,53.055,0.3
13.833,53.055,0.3
13.866,53.333,0.4
13.9,53.611,0.4
13.933,53.888,0.4
13.966,53.888,0.4
14,54.166,0.4
14.033,54.166,0.4
14.066,54.444,0.4
14.1,54.444,0.4
14.133,54.722,0.4
14.166,54.722,0.4
14.2,54.722,0.4
14.233,55,0.4
14.266,55.277,0.4
14.3,55.277,0.4
14.333,55.555,0.4
14.366,55.555,0.4
14.4,55.833,0.4
14.433,56.111,0.4
14.466,56.111,0.4
14.5,56.388,0.4
14.533,56.388,0.4
14.566,56.666,0.4
14.6,56.666,0.4
14.633,56.944,0.4
14.666,56.944,0.4
14.7,57.222,0.4
14.733,57.222,0.4
14.766,57.5,0.4
14.8,57.5,0.4
14.833,57.777,0.4
14.866,57.777,0.4
14.9,57.777,0.4
14.933,58.055,0.4
14.966,58.055,0.4
15,58.333,0.4
15.033,58.611,0.4
15.066,58.611,0.4
15.1,58.888,0.4
15.133,59.166,0.4
15.166,59.166,0.4
15.2,59.444,0.4
15.233,59.444,0.4
15.266,59.722,0.4
15.3,59.722,0.4
15.333,60,0.4
15.366,60,0.4
15.4,60.277,0.4
15.433,60.555,0.4
15.466,60.555,0.4
15.5,60.833,0.4
15.533,61.111,0.4
15.566,61.111,0.4
15.6,61.388,0.5
15.633,61.388,0.5
15.666,61.666,0.5
15.7,61.944,0.5
15.733,61.944,0.5
15.766,62.222,0.5
15.8,62.222,0.5
15.833,62.5,0.5
15.866,62.777,0.5
15.9,62.777,0.5
15.933,63.055,0.5
15.966,63.055,0.5
16,63.333,0.5
16.032,63.611,0.5
16.065,63.611,0.5
16.099,63.888,0.5
16.133,63.888,0.5
16.166,64.166,0.5
16.2,64.166,0.5
16.232,64.444,0.5
16.265,64.722,0.5
16.299,64.722,0.5
16.332,65,0.5
16.366,65.277,0.5
16.4,65.277,0.5
16.433,65.555,0.5
16.465,65.833,0.5
16.5,65.833,0.5
16.532,66.111,0.5
16.566,66.111,0.5
16.599,66.388,0.5
16.633,66.666,0.5
16.666,66.666,0.5
16.7,66.944,0.5
16.732,67.222,0.5
16.766,67.222,0.5
16.799,67.5,0.5
16.833,67.777,0.5
16.866,67.777,0.5
16.9,68.055,0.5
16.933,68.333,0.5
16.967,68.333,0.5
17,68.611,0.5
17.032,68.611,0.5
17.067,68.888,0.5
17.099,68.888,0.6
17.133,69.166,0.6
17.166,69.444,0.6
17.2,69.444,0.6
17.232,69.444,0.6
17.267,69.722,0.6
17.299,70,0.6
17.333,70,0.6
17.366,70.277,0.6
17.4,70.277,0.6
17.433,70.555,0.6
17.467,70.555,0.6
17.5,70.833,0.6
17.532,70.833,0.6
17.567,71.111,0.6
17.599,71.111,0.6
17.633,71.388,0.6
17.666,71.666,0.6
17.7,71.666,0.6
17.732,71.944,0.6
17.767,72.222,0.6
17.799,72.222,0.6
17.833,72.5,0.6
17.866,72.777,0.6
17.9,72.777,0.6
17.933,73.055,0.6
17.967,73.055,0.6
18,73.333,0.6
18.032,73.611,0.6
18.067,73.611,0.6
18.099,73.888,0.6
18.133,74.166,0.6
18.166,74.166,0.6
18.2,74.444,0.6
18.232,74.444,0.6
18.267,74.722,0.6
18.299,75,0.6
18.333,75,0.6
18.366,75.277,0.6
18.4,75.277,0.6
18.433,75.555,0.6
18.467,75.555,0.6
18.5,75.833,0.6
18.532,75.833,0.6
18.567,76.111,0.7
18.599,76.388,0.7
18.633,76.388,0.7
18.666,76.666,0.7
18.7,76.944,0.7
18.732,76.944,0.7
18.767,77.222,0.7
18.799,77.5,0.7
18.833,77.5,0.7
18.866,77.777,0.7
18.9,78.055,0.7
18.933,78.055,0.7
18.967,78.333,0.7
19,78.611,0.7
19.032,78.611,0.7
19.067,78.888,0.7
19.099,79.166,0.7
19.133,79.166,0.7
19.166,79.444,0.7
19.2,79.722,0.7
19.232,79.722,0.7
19.267,80,0.7
19.299,80.277,0.7
19.333,80.277,0.7
19.366,80.555,0.7
19.4,80.833,0.7
19.433,80.833,0.7
19.467,81.111,0.7
19.5,81.111,0.7
19.532,81.388,0.7
19.567,81.388,0.7
19.599,81.666,0.7
19.633,81.944,0.7
19.666,82.222,0.7
19.7,82.222,0.7
19.732,82.5,0.7
19.767,82.777,0.7
19.799,82.777,0.7
19.833,83.055,0.8
19.866,83.333,0.8
19.9,83.333,0.8
19.933,83.611,0.8
19.967,83.611,0.8
20,83.888,0.8
20.032,84.166,0.8
20.067,84.166,0.8
20.099,84.444,0.8
20.133,84.722,0.8
20.166,84.722,0.8
20.2,85,0.8
20.232,85,0.8
20.267,85.277,0.8
20.299,85.277,0.8
20.333,85.555,0.8
20.366,85.833,0.8
20.4,85.833,0.8
20.433,86.111,0.8
20.467,86.388,0.8
20.5,86.388,0.8
20.532,86.666,0.8
20.567,86.666,0.8
20.599,86.944,0.8
20.633,87.222,0.8
20.666,87.222,0.8
20.7,87.5,0.8
20.732,87.5,0.8
20.767,87.777,0.8
20.799,88.055,0.8
20.833,88.055,0.8
20.866,88.333,0.8
20.9,88.611,0.8
20.933,88.611,0.8
20.967,88.888,0.9
21,89.166,0.9
21.032,89.166,0.9
21.067,89.444,0.9
21.099,89.722,0.9
21.133,89.722,0.9
21.166,90,0.9
21.2,90.277,0.9
21.232,90.555,0.9
21.267,90.555,0.9
21.299,90.833,0.9
21.333,91.111,0.9
21.366,91.111,0.9
21.4,91.388,0.9
21.433,91.666,0.9
21.467,91.666,0.9
21.5,91.944,0.9
21.532,92.222,0.9
21.567,92.222,0.9
21.599,92.5,0.9
21.633,92.5,0.9
21.666,92.777,0.9
21.7,93.055,0.9
21.732,93.055,0.9
21.767,93.333,0.9
21.799,93.333,0.9
21.833,93.611,0.9
21.866,93.611,0.9
21.9,93.888,0.9
21.933,94.166,0.9
21.967,94.444,0.9
22,94.444,1
22.032,94.722,1
22.067,94.722,1
22.099,95,1
22.133,95.277,1
22.166,95.277,1
22.2,95.555,1
22.232,95.555,1
22.267,95.833,1
22.299,96.111,1
22.333,96.111,1
22.366,96.388,1
22.4,96.666,1
22.433,96.666,1
22.467,96.944,1
22.5,97.222,1
22.532,97.222,1
22.567,97.5,1
22.599,97.777,1
22.633,97.777,1
22.666,98.055,1
22.7,98.055,1
22.732,98.333,1
22.767,98.611,1
22.799,98.611,1
22.833,98.888,1
22.866,99.166,1
22.9,99.166,1
22.933,99.444,1
22.967,99.722,1
23,99.722,1.1
23.032,100,1.1
23.067,100.277,1.1
23.099,100.277,1.1
23.133,100.555,1.1
23.166,100.833,1.1
23.2,100.833,1.1
23.232,101.111,1.1
23.267,101.388,1.1
23.299,101.388,1.1
23.333,101.666,1.1
23.366,101.944,1.1
23.4,101.944,1.1
23.433,102.222,1.1
23.467,102.5,1.1
23.5,102.5,1.1
23.532,102.777,1.1
23.567,102.777,1.1
23.599,103.055,1.1
23.633,103.333,1.1
23.666,103.333,1.1
23.7,103.611,1.1
23.732,103.888,1.1
23.767,103.888,1.1
23.799,104.166,1.1
23.833,104.444,1.1
23.866,104.444,1.1
23.9,104.722,1.1
23.933,105,1.1
23.967,105,1.1
24,105.277,1.1
24.032,105.277,1.2
24.067,105.555,1.2
24.099,105.555,1.2
24.133,105.833,1.2
24.166,105.833,1.2
24.2,106.111,1.2
24.232,106.388,1.2
24.267,106.388,1.2
24.299,106.666,1.2
24.333,106.944,1.2
24.366,106.944,1.2
24.4,107.222,1.2
24.433,107.222,1.2
24.467,107.5,1.2
24.5,107.777,1.2
24.532,108.055,1.2
24.567,108.055,1.2
24.599,108.333,1.2
24.633,108.333,1.2
24.666,108.611,1.2
24.7,108.888,1.2
24.732,108.888,1.2
24.767,109.166,1.2
24.799,109.166,1.2
24.833,109.444,1.2
24.866,109.722,1.2
24.9,109.722,1.2
24.933,110,1.2
24.967,110.277,1.2
25,110.277,1.2
25.032,110.833,1.3
25.067,110.833,1.3
25.099,111.111,1.3
25.133,111.388,1.3
25.166,111.666,1.3
25.2,111.666,1.3
25.232,112.222,1.3
25.267,112.222,1.3
25.299,112.5,1.3
25.333,112.777,1.3
25.366,113.055,1.3
25.4,113.055,1.3
25.433,113.333,1.3
25.467,113.611,1.3
25.5,113.611,1.3
25.532,113.888,1.3
25.567,114.166,1.3
25.599,114.166,1.3
25.633,114.444,1.3
25.666,114.722,1.3
25.7,114.722,1.3
25.732,115,1.3
25.767,115.277,1.3
25.799,115.277,1.3
25.833,115.555,1.4
25.866,115.833,1.4
25.9,115.833,1.4
25.933,116.111,1.4
25.967,116.388,1.4
26,116.388,1.4
26.032,116.666,1.4
26.067,116.944,1.4
26.099,116.944,1.4
26.133,117.222,1.4
26.166,117.5,1.4
26.2,117.5,1.4
26.232,117.777,1.4
26.267,118.055,1.4
26.299,118.055,1.4
26.333,118.333,1.4
26.366,118.333,1.4
26.4,118.611,1.4
26.433,118.888,1.4
26.467,118.888,1.4
26.5,119.166,1.4
26.532,119.166,1.4
26.567,119.444,1.4
26.599,119.722,1.4
26.633,120,1.4
26.666,120.277,1.4
26.7,120.277,1.5
26.732,120.555,1.5
26.767,120.833,1.5
26.799,120.833,1.5
26.833,121.388,1.5
26.866,121.388,1.5
26.9,121.666,1.5
26.933,122.222,1.5
26.967,122.222,1.5
27,122.5,1.5
27.032,122.777,1.5
27.067,122.777,1.5
27.099,122.777,1.5
27.133,123.055,1.5
27.166,123.333,1.5
27.2,123.333,1.5
27.232,123.611,1.5
27.267,123.888,1.5
27.299,123.888,1.5
27.333,123.888,1.5
27.366,124.166,1.5
27.4,124.444,1.5
27.433,124.722,1.5
27.467,124.722,1.5
27.5,125,1.6
27.532,125,1.6
27.567,125.277,1.6
27.599,125.555,1.6
27.633,125.833,1.6
27.666,125.833,1.6
27.7,126.111,1.6
27.732,126.111,1.6
27.767,126.388,1.6
27.799,126.666,1.6
27.833,126.666,1.6
27.866,126.944,1.6
27.9,127.222,1.6
27.933,127.5,1.6
27.967,127.777,1.6
28,127.777,1.6
28.032,128.055,1.6
28.067,128.333,1.6
28.099,128.611,1.6
28.133,128.611,1.6
28.166,128.888,1.6
28.2,129.166,1.6
28.232,129.166,1.6
28.267,129.444,1.7
28.299,129.722,1.7
28.333,129.722,1.7
28.366,130,1.7
28.4,130.277,1.7
28.433,130.277,1.7
28.467,130.555,1.7
28.5,130.833,1.7
28.532,130.833,1.7
28.567,131.111,1.7
28.599,131.388,1.7
28.633,131.388,1.7
28.666,131.666,1.7
28.7,131.944,1.7
28.732,132.222,1.7
28.767,132.5,1.7
28.799,132.5,1.7
28.833,132.5,1.7
28.866,132.777,1.7
28.9,133.055,1.7
28.933,133.333,1.7
28.967,133.611,1.7
29,133.611,1.7
29.032,133.888,1.7
29.067,134.166,1.8
29.099,134.444,1.8
29.133,134.722,1.8
29.166,135,1.8
29.2,135,1.8
29.232,135.277,1.8
29.267,135.555,1.8
29.299,135.833,1.8
29.333,135.833,1.8
29.366,136.111,1.8
29.4,136.388,1.8
29.433,136.388,1.8
29.467,136.666,1.8
29.5,136.944,1.8
29.532,137.222,1.8
29.567,137.5,1.8
29.599,137.5,1.8
29.633,137.777,1.8
29.666,138.055,1.8
29.7,138.055,1.8
29.732,138.333,1.8
29.767,138.611,1.9
29.799,138.611,1.9
29.833,138.888,1.9
29.866,139.444,1.9
29.9,139.722,1.9
29.933,139.722,1.9
29.967,140,1.9
30,140.277,1.9
30.032,140.277,1.9
30.067,140.555,1.9
30.099,140.555,1.9
30.133,140.833,1.9
30.166,140.833,1.9
30.2,141.111,1.9
30.232,141.388,1.9
30.267,141.388,1.9
30.299,141.666,1.9
30.333,141.944,1.9
30.366,142.222,1.9
30.4,142.5,1.9
30.433,142.5,1.9
30.467,142.777,1.9
30.5,143.055,2
30.532,143.333,2
30.567,143.333,2
30.599,143.611,2
30.633,143.888,2
30.666,143.888,2
30.7,144.166,2
30.732,144.444,2
30.767,144.444,2
30.799,144.722,2
30.833,145,2
30.866,145,2
30.9,145.277,2
30.933,145.555,2
30.967,145.833,2
31,146.111,2
31.032,146.111,2
31.067,146.388,2
31.099,146.666,2
31.133,146.944,2
31.166,146.944,2
31.2,147.222,2
31.232,147.5,2.1
31.267,147.777,2.1
31.299,147.777,2.1
31.333,148.055,2.1
31.366,148.055,2.1
31.4,148.611,2.1
31.433,148.611,2.1
31.467,148.888,2.1
31.5,149.166,2.1
31.532,149.444,2.1
31.567,149.444,2.1
31.599,149.722,2.1
31.633,150,2.1
31.666,150,2.1
31.7,150.277,2.1
31.732,150.555,2.1
31.767,150.555,2.1
31.799,150.833,2.1
31.833,151.111,2.1
31.866,151.388,2.2
31.9,151.666,2.2
31.933,151.944,2.2
31.967,151.944,2.2
32,152.222,2.2
32.033,152.5,2.2
32.067,152.777,2.2
32.1,153.055,2.2
32.132,153.333,2.2
32.167,153.333,2.2
32.199,153.611,2.2
32.232,153.888,2.2
32.266,154.166,2.2
32.299,154.166,2.2
32.333,154.444,2.2
32.366,154.444,2.2
32.4,154.722,2.2
32.433,155,2.2
32.467,155.277,2.2
32.5,155.555,2.2
32.533,155.833,2.3
32.567,155.833,2.3
32.6,156.111,2.3
32.632,156.388,2.3
32.667,156.666,2.3
32.699,156.944,2.3
32.732,157.222,2.3
32.766,157.222,2.3
32.8,157.5,2.3
32.833,157.777,2.3
32.867,158.055,2.3
32.9,158.333,2.3
32.933,158.333,2.3
32.967,158.611,2.3
33,158.888,2.3
33.033,159.166,2.3
33.067,159.166,2.3
33.1,159.444,2.3
33.132,159.722,2.3
33.167,160,2.4
33.199,160,2.4
33.233,160.277,2.4
33.266,160.555,2.4
33.3,160.833,2.4
33.333,161.111,2.4
33.367,161.111,2.4
33.4,161.388,2.4
33.433,161.666,2.4
33.467,161.944,2.4
33.5,161.944,2.4
33.533,162.222,2.4
33.567,162.5,2.4
33.6,162.777,2.4
33.632,162.777,2.4
33.667,163.055,2.4
33.699,163.333,2.4
33.733,163.333,2.4
33.766,163.611,2.4
33.8,163.888,2.4
33.833,164.166,2.4
33.867,164.444,2.5
33.9,164.444,2.5
33.933,164.722,2.5
33.967,165,2.5
34,165.277,2.5
34.033,165.555,2.5
34.067,165.833,2.5
34.1,165.833,2.5
34.132,166.111,2.5
34.167,166.388,2.5
34.199,166.388,2.5
34.233,166.666,2.5
34.266,166.944,2.5
34.3,167.222,2.5
34.333,167.222,2.5
34.367,167.777,2.5
34.4,167.777,2.5
34.433,168.055,2.6
34.467,168.333,2.6
34.5,168.611,2.6
34.533,168.611,2.6
34.567,168.888,2.6
34.6,169.166,2.6
34.632,169.444,2.6
34.667,169.722,2.6
34.699,169.722,2.6
34.733,170,2.6
34.766,170.277,2.6
34.8,170.555,2.6
34.833,170.833,2.6
34.867,171.111,2.6
34.9,171.111,2.6
34.933,171.388,2.6
34.967,171.666,2.6
35,171.666,2.6
35.033,171.944,2.7
35.067,172.222,2.7
35.1,172.5,2.7
35.132,172.5,2.7
35.167,172.777,2.7
35.199,173.055,2.7
35.233,173.055,2.7
35.266,173.333,2.7
35.3,173.611,2.7
35.333,173.888,2.7
35.367,174.166,2.7
35.4,174.166,2.7
35.433,174.444,2.7
35.467,174.722,2.7
35.5,175,2.7
35.533,175.277,2.7
35.567,175.555,2.7
35.6,175.833,2.8
35.632,175.833,2.8
35.667,176.111,2.8
35.699,176.388,2.8
35.733,176.666,2.8
35.766,176.944,2.8
35.8,177.222,2.8
35.833,177.222,2.8
35.867,177.5,2.8
35.9,177.777,2.8
35.933,178.055,2.8
35.967,178.333,2.8
36,178.333,2.8
36.033,178.611,2.8
36.067,178.888,2.8
36.1,178.888,2.8
36.132,179.166,2.8
36.167,179.444,2.8
36.199,179.722,2.9
36.233,179.722,2.9
36.266,180.277,2.9
36.3,180.555,2.9
36.333,180.555,2.9
36.367,180.833,2.9
36.4,181.111,2.9
36.433,181.111,2.9
36.467,181.388,2.9
36.5,181.666,2.9
36.533,181.666,2.9
36.567,181.944,2.9
36.6,182.222,2.9
36.632,182.5,2.9
36.667,182.5,2.9
36.699,182.777,2.9
36.733,183.055,3
36.766,183.333,3
36.8,183.611,3
36.833,183.888,3
36.867,184.166,3
36.9,184.444,3
36.933,184.722,3
36.967,184.722,3
37,185,3
37.033,185.277,3
37.067,185.555,3
37.1,185.833,3
37.132,186.111,3
37.167,186.388,3
37.199,186.666,3
37.233,186.666,3
37.266,186.944,3
37.3,187.222,3.1
37.333,187.5,3.1
37.367,187.777,3.1
37.4,188.055,3.1
37.433,188.333,3.1
37.467,188.611,3.1
37.5,188.888,3.1
37.533,188.888,3.1
37.567,189.166,3.1
37.6,189.444,3.1
37.632,189.722,3.1
37.667,190,3.1
37.699,190.277,3.1
37.733,190.555,3.1
37.766,190.833,3.1
37.8,191.111,3.1
37.833,191.388,3.2
37.867,191.666,3.2
37.9,191.944,3.2
37.933,191.944,3.2
37.967,192.222,3.2
38,192.5,3.2
38.033,192.5,3.2
38.067,192.777,3.2
38.1,193.055,3.2
38.132,193.333,3.2
38.167,193.611,3.2
38.199,193.888,3.2
38.233,194.166,3.2
38.266,194.166,3.2
38.3,194.444,3.2
38.333,194.722,3.2
38.367,195,3.3
38.4,195.277,3.3
38.433,195.555,3.3
38.467,195.833,3.3
38.5,196.111,3.3
38.533,196.388,3.3
38.567,196.388,3.3
38.6,196.944,3.3
38.632,196.944,3.3
38.667,197.222,3.3
38.699,197.5,3.3
38.733,197.777,3.3
38.766,198.055,3.3
38.8,198.333,3.3
38.833,198.333,3.3
38.867,198.611,3.4
38.9,198.888,3.4
38.933,199.166,3.4
38.967,199.444,3.4
39,199.722,3.4
39.033,200,3.4
39.067,200.277,3.4
39.1,200.555,3.4
39.132,200.555,3.4
39.167,200.833,3.4
39.199,201.111,3.4
39.233,201.111,3.4
39.266,201.388,3.4
39.3,201.388,3.4
39.333,201.666,3.4
39.367,201.666,3.4
39.4,201.666,3.5
39.433,201.944,3.5
39.467,201.944,3.5
39.5,202.222,3.5
39.533,202.5,3.5
39.567,202.777,3.5
39.6,202.777,3.5
39.632,203.333,3.5
39.667,203.611,3.5
39.699,203.888,3.5
39.733,204.166,3.5
39.766,204.444,3.5
39.8,204.722,3.5
39.833,205,3.5
39.867,205.277,3.6
39.9,205.555,3.6
39.933,205.833,3.6
39.967,206.111,3.6
40,206.388,3.6
40.033,206.666,3.6
40.067,206.666,3.6
40.1,206.944,3.6
40.132,207.222,3.6
40.167,207.5,3.6
40.199,207.777,3.6
40.233,208.055,3.6
40.266,208.333,3.6
40.3,208.611,3.6
40.333,208.888,3.6
40.367,208.888,3.7
40.4,209.166,3.7
40.433,209.444,3.7
40.467,209.722,3.7
40.5,209.722,3.7
40.533,210,3.7
40.567,210.277,3.7
40.6,210.555,3.7
40.632,210.833,3.7
40.667,211.111,3.7
40.699,211.388,3.7
40.733,211.944,3.7
40.766,211.944,3.7
40.8,212.222,3.8
40.833,212.5,3.8
40.867,212.777,3.8
40.9,212.777,3.8
